file,method,metric,margin_mean,gradient_mean,margin_points,gradient_points
FgNwZuMFQwY_1_s2_f0_0228.npz,Euclidean,euclidean,0.49560001492500305,0.3097478399674098,6,6
FgNwZuMFQwY_1_s2_f1_0229.npz,Euclidean,euclidean,0.3764547426253557,0.21295883506536484,8,8
FgNwZuMFQwY_1_s2_f2_0230.npz,Euclidean,euclidean,0.4280968563897269,0.2610730401107243,7,7
FgNwZuMFQwY_1_s2_f3_0231.npz,Euclidean,euclidean,0.3342228765998568,0.4237731375864574,7,7
FhF2q_P-vAA_0_s0_f0_0232.npz,Euclidean,euclidean,0.061196219176054,2.78127121925354,1,1
FhF2q_P-vAA_0_s0_f2_0233.npz,Euclidean,euclidean,0.39135995507240295,1.3360329866409302,1,1
FhF2q_P-vAA_0_s0_f3_0234.npz,Euclidean,euclidean,0.3737013041973114,2.2073450088500977,1,1
FhF2q_P-vAA_0_s0_f4_0235.npz,Euclidean,euclidean,0.7805008292198181,1.853771448135376,1,1
FhF2q_P-vAA_0_s1_f1_0236.npz,Euclidean,euclidean,0.17104221880435944,2.1167147159576416,1,1
FhF2q_P-vAA_0_s1_f2_0237.npz,Euclidean,euclidean,0.23483626544475555,2.668388605117798,1,1
FhF2q_P-vAA_0_s1_f3_0238.npz,Euclidean,euclidean,0.6244724690914154,0.4836560934782028,4,4
FhF2q_P-vAA_0_s2_f0_0239.npz,Euclidean,euclidean,0.1984845892422729,0.2718539933363597,9,9
FhF2q_P-vAA_0_s2_f1_0240.npz,Euclidean,euclidean,0.13915189541876316,0.4958064705133438,4,4
FhF2q_P-vAA_0_s2_f2_0241.npz,Euclidean,euclidean,0.1993238516151905,0.5914210304617882,4,4
FhF2q_P-vAA_0_s2_f3_0242.npz,Euclidean,euclidean,0.5215126706494225,0.2136188248793284,9,9
FhF2q_P-vAA_0_s2_f4_0243.npz,Euclidean,euclidean,0.5319169635574023,0.16112286100784937,12,12
GJqSBf6p8qg_0_s0_f3_0244.npz,Euclidean,euclidean,0.7173082828521729,1.6156851053237915,1,1
GJqSBf6p8qg_0_s2_f0_0245.npz,Euclidean,euclidean,0.6843956112861633,1.614094614982605,1,1
